Array 	 Signal 	 Distance 	 Angle 	 Channel 	 Pnoise[W] 	 Psignal[W] 	 SNR_FAC 	 SNR_DB[db]
A4 	 CH 	 10 	 67,5 	 5 	 1.021713719181161e-05 	 0.0008529505489164829 	 83.48234274470434 	 44.2463514535984
A4 	 CH 	 10 	 67,5 	 6 	 1.0906998116129086e-05 	 0.0005553955950584932 	 50.921031538199635 	 39.30276031500504
A4 	 CH 	 10 	 67,5 	 7 	 1.1542824700141256e-05 	 0.00037991854950716344 	 32.91382823326722 	 34.9389288050694
A4 	 CH 	 10 	 90 	 average 	 1.540085752204419e-05 	 0.0009618208566660297 	 63.5035536635383 	 40.102738382029315
A4 	 CH 	 10 	 90 	 1 	 1.5308388786320954e-05 	 0.0011333429032244528 	 74.03410764150233 	 43.04525901090262
A4 	 CH 	 10 	 90 	 2 	 1.5694089773555335e-05 	 0.0017354990429035014 	 110.58296899944023 	 47.05766089884133
A4 	 CH 	 10 	 90 	 3 	 1.5959495690848757e-05 	 0.0010171677975189444 	 63.73433203795987 	 41.54723381878089
A4 	 CH 	 10 	 90 	 4 	 1.5886245689162232e-05 	 0.0007206029731868109 	 45.36018057925506 	 38.14634640435714
A4 	 CH 	 10 	 90 	 5 	 1.3576019801078801e-05 	 0.0015639123723514624 	 115.19667732270014 	 47.46640905160938
A4 	 CH 	 10 	 90 	 6 	 1.5849757980039435e-05 	 0.0006268536550440083 	 39.549730401779215 	 36.77558877547679
A4 	 CH 	 10 	 90 	 7 	 1.6724445697676737e-05 	 0.00033758649946644186 	 20.18521304495834 	 30.049503088669077
A4 	 CH 	 20 	 00 	 average 	 1.3179983516921978e-05 	 0.0007722274243794203 	 58.88329053351444 	 40.37450163484297
A4 	 CH 	 20 	 00 	 1 	 1.1989400015622858e-05 	 0.0008740731903901033 	 72.90383082148708 	 42.89141186625555
A4 	 CH 	 20 	 00 	 2 	 1.344467227946594e-05 	 0.0007767414447958996 	 57.77317800317212 	 40.56524619586532
A4 	 CH 	 20 	 00 	 3 	 1.2523304914754334e-05 	 0.0006700760184988242 	 53.50632465311725 	 39.79799864730061
A4 	 CH 	 20 	 00 	 4 	 1.249567081012484e-05 	 0.0006135722628631946 	 49.10278705213943 	 38.93915795962227
A4 	 CH 	 20 	 00 	 5 	 1.3242878816911024e-05 	 0.0011396476747277263 	 86.05739661926134 	 44.5501447618902
